name,platform,year,genre,publisher,NA_sales,EU_sales,JP_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.18,0.01,0,0.01,0.21,80,43,8.7,35,WayForward,E
A Game of Thrones: Genesis,PC,2011,Strategy,Focus Home Interactive,0,0.03,0,0.01,0.03,53,40,4,110,Cyanide,M
A New Beginning,PC,2010,Adventure,Deep Silver,0,0.05,0,0.01,0.06,0,0,0,0,Unknown,M
A Ressha de Gyoukou 2001,PS2,2001,Simulation,ArtDink,0,0,0.03,0,0.03,0,0,0,0,Unknown,M
A Vampyre Story,PC,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,75,33,8.5,25,Autumn Moon,T
A.C.E.: Another Century's Episode,PS2,2005,Simulation,Banpresto,0,0,0.26,0,0.26,0,0,0,0,Unknown,T
A.C.E.: Another Century's Episode 2,PS2,2006,Simulation,Banpresto,0,0,0.18,0,0.18,0,0,0,0,Unknown,RP
A.C.E.: Another Century's Episode 3: The Final,PS2,2007,Simulation,Banpresto,0,0,0.26,0,0.26,0,0,0,0,Unknown,T
A.C.E.: Another Century's Episode R,PS3,2010,Simulation,Namco Bandai Games,0,0,0.26,0,0.26,0,0,0,0,Unknown,T
Aa Megami-samaa,PS2,2007,Adventure,Marvelous Interactive,0,0,0.01,0,0.01,0,0,0,0,Unknown,K-A
ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.18,0.49,0,0.1,0.77,66,5,0,0,Ubisoft,E10+
AC/DC LIVE: Rock Band Track Pack,Wii,2008,Misc,MTV Games,0.24,0,0,0.02,0.27,0,0,7.2,5,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,PS3,2008,Misc,MTV Games,0.21,0.01,0,0.02,0.24,60,12,5.3,14,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,0.21,0,0,0.02,0.23,63,16,4.9,10,Harmonix Music Systems,T
AC/DC LIVE: Rock Band Track Pack,PS2,2008,Misc,MTV Games,0.08,0.06,0,0.02,0.16,0,0,0,0,Harmonix Music Systems,T
Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.09,0.02,0,0.01,0.12,64,20,6.8,14,Ubisoft Vancouver,E
Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03,0,0,0,0,Unknown,M
Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,0,0,0.02,0,0.02,0,0,0,0,Unknown,E10+
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17,89,22,9.1,95,Namco,E
Ace Combat 5: The Unsung War,PS2,2004,Simulation,Sony Computer Entertainment Europe,0.88,0.34,0.32,0.18,1.71,84,57,9.1,81,Namco,T
Ace Combat 6: Fires of Liberation,X360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80,54,7.9,101,Project Aces,T
Ace Combat Zero: The Belkan War,PS2,2006,Simulation,Namco Bandai Games,0.15,0.12,0.2,0.04,0.51,75,45,8.4,55,Namco,T
Ace Combat: Assault Horizon,PS3,2011,Action,Namco Bandai Games,0.3,0.15,0.22,0.07,0.74,77,28,6.7,82,Project Aces,T
Ace Combat: Assault Horizon,X360,2011,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,78,71,6.2,82,Project Aces,T
Achtung Panzer: Kharkov 1943,PC,2010,Strategy,Mamba Games,0,0.01,0,0,0.02,70,6,8.3,20,Paradox Interactive,E10+
Act of Aggression,PC,2015,Strategy,Focus Home Interactive,0,0.01,0,0,0.01,71,37,7.1,93,Eugen Systems,K-A
Active Life Explorer,Wii,2010,Sports,Namco Bandai Games,0.13,0,0,0.01,0.14,0,0,0,0,h.a.n.d. Inc.,E
Active Life: Extreme Challenge,Wii,2009,Sports,Namco Bandai Games,0.14,0.27,0,0.06,0.47,56,13,0,0,TOSE,E
Active Life: Magical Carnival,Wii,2011,Misc,Namco Bandai Games,0.03,0.01,0,0,0.04,0,0,0,0,Bandai Namco Games,E
Active Life: Outdoor Challenge,Wii,2008,Sports,Atari,0.78,0.43,0.19,0.14,1.54,69,6,8.1,14,h.a.n.d. Inc.,E
Activision Anthology,PS2,2002,Misc,Activision,0.25,0.19,0,0.06,0.5,75,13,7.7,6,Contraband Entertainment,E
Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0,0.01,0.14,50,32,0,0,Konami,E
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,D3Publisher,0.03,0.04,0,0.01,0.08,0,0,0,0,Unknown,M
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher,0.02,0.01,0,0.01,0.05,0,0,0,0,Unknown,M
Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.05,0,0.02,0.09,0,0,0,0,Unknown,RP
Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.05,0,0.01,0.09,0,0,0,0,Unknown,M
Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.03,0.05,0,0.01,0.08,0,0,0,0,Unknown,M
Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.03,0.02,0,0,0.05,0,0,0,0,Unknown,M
Adventure Time: The Secret of the Nameless ,X360,2014,Adventure,Little Orbit,0.01,0,0,0,0.01,0,0,0,0,Unknown,E10+
